1.0000,0.7457,0.3752,0.7480,0.7475
2.0000,0.7831,0.3785,0.7879,0.7857
3.0000,0.8091,0.3893,0.8117,0.8110
4.0000,0.8253,0.3956,0.8267,0.8251
5.0000,0.8380,0.3973,0.8395,0.8390
6.0000,0.8483,0.3933,0.8466,0.8447
7.0000,0.8470,0.3976,0.8457,0.8468
8.0000,0.8549,0.4013,0.8541,0.8507
9.0000,0.8601,0.3947,0.8595,0.8578
10.0000,0.8608,0.4080,0.8634,0.8633
11.0000,0.8617,0.3976,0.8588,0.8555
12.0000,0.8609,0.3964,0.8550,0.8530
13.0000,0.8601,0.3958,0.8541,0.8532
14.0000,0.8739,0.4053,0.8724,0.8727
15.0000,0.8742,0.4068,0.8721,0.8718
16.0000,0.8671,0.4084,0.8668,0.8678
17.0000,0.8790,0.4107,0.8761,0.8767
18.0000,0.8819,0.4092,0.8787,0.8811
19.0000,0.8825,0.4086,0.8818,0.8810
20.0000,0.8818,0.4106,0.8777,0.8774
